epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,471.268,0.81374,1.48362,0.95629,0.92729,0.88951,0.95197,0.80832,0.56874,0.54514,0.8523,0.000208226,0.000208226,0.000208226
2,877.29,0.59878,0.62027,0.87213,0.93606,0.92871,0.96686,0.83658,0.53043,0.42062,0.85046,0.00037532,0.00037532,0.00037532
3,1267.64,0.56505,0.50504,0.86643,0.94031,0.93313,0.9712,0.85919,0.48149,0.38332,0.83734,0.000501164,0.000501164,0.000501164
4,1652.93,0.53374,0.44627,0.85795,0.9484,0.94584,0.97734,0.87511,0.45257,0.33638,0.83037,0.000439375,0.000439375,0.000439375
5,2033.66,0.5042,0.4029,0.84944,0.9575,0.94806,0.9815,0.88864,0.43029,0.31023,0.82409,0.0003775,0.0003775,0.0003775
6,2414.01,0.48257,0.37384,0.84203,0.96339,0.94751,0.9827,0.89735,0.4114,0.29406,0.81913,0.000315625,0.000315625,0.000315625
7,2803.32,0.46227,0.3504,0.83745,0.96586,0.95175,0.98458,0.90499,0.39703,0.27867,0.81587,0.00025375,0.00025375,0.00025375
8,3260.64,0.44237,0.32864,0.83141,0.96453,0.95779,0.98471,0.91035,0.38542,0.26763,0.81053,0.000191875,0.000191875,0.000191875
9,3714.86,0.42662,0.30873,0.82734,0.96908,0.95518,0.98571,0.91633,0.37459,0.25321,0.80867,0.00013,0.00013,0.00013
10,4155.88,0.40889,0.29259,0.82405,0.96824,0.95914,0.98737,0.92227,0.36702,0.24403,0.80643,6.8125e-05,6.8125e-05,6.8125e-05
