epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,542.707,0.93539,1.95113,1.04676,0.85901,0.90038,0.94014,0.79483,0.58328,0.58284,0.9105,0.00333161,0.00333161,0.00333161
2,1012.28,0.74432,0.95173,0.96276,0.93006,0.89284,0.95654,0.81598,0.56946,0.53193,0.89842,0.00653298,0.00653298,0.00653298
3,1445.89,0.74749,0.86605,0.9681,0.928,0.9245,0.95973,0.82601,0.56807,0.50311,0.9065,0.00960235,0.00960235,0.00960235
4,1874.31,0.7184,0.75032,0.96805,0.94539,0.92199,0.96639,0.84728,0.52074,0.4336,0.89318,0.009406,0.009406,0.009406
5,2301.72,0.67059,0.64185,0.95036,0.94827,0.94236,0.97599,0.86697,0.48975,0.38291,0.87791,0.009208,0.009208,0.009208
6,2731.57,0.6408,0.59327,0.94215,0.95021,0.94085,0.97719,0.87105,0.47723,0.36301,0.87771,0.00901,0.00901,0.00901
7,3161.04,0.62164,0.55471,0.9329,0.95206,0.9422,0.97497,0.87112,0.47377,0.35499,0.87401,0.008812,0.008812,0.008812
8,3591.38,0.60372,0.5317,0.92445,0.94575,0.94834,0.97745,0.88771,0.44327,0.33185,0.86018,0.008614,0.008614,0.008614
9,4022.84,0.58955,0.51099,0.92146,0.95723,0.94834,0.97997,0.89284,0.43295,0.31276,0.8553,0.008416,0.008416,0.008416
10,4450.95,0.58112,0.49854,0.91489,0.95667,0.94607,0.97787,0.89417,0.42455,0.31144,0.85087,0.008218,0.008218,0.008218
11,4874.86,0.57385,0.48444,0.91235,0.95738,0.9485,0.98057,0.89857,0.41748,0.29804,0.85581,0.00802,0.00802,0.00802
12,5300.92,0.56551,0.47586,0.91085,0.95994,0.94883,0.98156,0.90244,0.40966,0.2901,0.84943,0.007822,0.007822,0.007822
13,5722.09,0.55866,0.46586,0.90745,0.95902,0.95133,0.98333,0.90705,0.40241,0.28015,0.8439,0.007624,0.007624,0.007624
14,6143.55,0.55091,0.45364,0.90199,0.96169,0.94997,0.98358,0.9089,0.39692,0.27533,0.83828,0.007426,0.007426,0.007426
15,6565.69,0.5465,0.44797,0.90221,0.96162,0.95263,0.98442,0.91357,0.391,0.26501,0.83785,0.007228,0.007228,0.007228
16,6988.32,0.54192,0.43972,0.8991,0.96196,0.95405,0.98563,0.91393,0.38859,0.26352,0.83878,0.00703,0.00703,0.00703
17,7409.93,0.53704,0.43151,0.89833,0.96122,0.95416,0.9849,0.9161,0.38487,0.25977,0.83301,0.006832,0.006832,0.006832
18,7831.05,0.53191,0.4259,0.89601,0.9636,0.95388,0.98597,0.91789,0.38047,0.25459,0.83362,0.006634,0.006634,0.006634
19,8252.21,0.52716,0.42323,0.89584,0.96304,0.95773,0.98647,0.91891,0.37989,0.25234,0.83281,0.006436,0.006436,0.006436
20,8673.29,0.52038,0.41392,0.89301,0.96541,0.95606,0.98622,0.92038,0.37451,0.24725,0.82981,0.006238,0.006238,0.006238
21,9095.96,0.51878,0.41279,0.89174,0.96538,0.95682,0.98658,0.92196,0.37309,0.24486,0.829,0.00604,0.00604,0.00604
22,9517.63,0.51765,0.40786,0.89048,0.96597,0.9544,0.98666,0.92333,0.3688,0.24181,0.82676,0.005842,0.005842,0.005842
23,9941.19,0.50968,0.39973,0.88886,0.9662,0.95517,0.98705,0.9253,0.36726,0.24039,0.82721,0.005644,0.005644,0.005644
24,10365,0.50758,0.39878,0.88641,0.96622,0.95628,0.98742,0.92504,0.36628,0.23715,0.82575,0.005446,0.005446,0.005446
25,10789.2,0.50514,0.39262,0.88641,0.96616,0.95699,0.98759,0.92577,0.36549,0.23626,0.82613,0.005248,0.005248,0.005248
26,11212.7,0.49995,0.38528,0.8856,0.96652,0.95833,0.98754,0.92635,0.36363,0.23453,0.82571,0.00505,0.00505,0.00505
27,11636.6,0.49867,0.38244,0.8817,0.96694,0.95832,0.98765,0.92793,0.36114,0.23139,0.82262,0.004852,0.004852,0.004852
28,12061.2,0.4938,0.37669,0.88127,0.96695,0.95837,0.98765,0.92805,0.35998,0.2295,0.82168,0.004654,0.004654,0.004654
29,12487,0.49016,0.37583,0.8809,0.96774,0.95767,0.98777,0.92898,0.3584,0.22813,0.82094,0.004456,0.004456,0.004456
30,12910.1,0.48811,0.37353,0.87879,0.96736,0.95865,0.98799,0.92934,0.35769,0.22707,0.82065,0.004258,0.004258,0.004258
31,13331.4,0.48386,0.36896,0.87495,0.96729,0.95872,0.98804,0.9296,0.35668,0.22562,0.81993,0.00406,0.00406,0.00406
32,13753.5,0.48316,0.36396,0.8762,0.96804,0.95824,0.98812,0.93015,0.35583,0.22468,0.81945,0.003862,0.003862,0.003862
33,14177.9,0.47909,0.36188,0.87738,0.96743,0.95907,0.98818,0.93045,0.35496,0.2239,0.81942,0.003664,0.003664,0.003664
