epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,749.154,0.84836,2.43176,1.10386,0.87578,0.87849,0.9228,0.79374,0.53938,0.58744,0.9253,0.00333161,0.00333161,0.00333161
2,1483.51,0.66502,1.10723,0.97897,0.92742,0.92168,0.96123,0.84425,0.51366,0.49996,0.92351,0.00653298,0.00653298,0.00653298
3,2214.84,0.67695,0.79762,0.99136,0.93831,0.92217,0.96284,0.83214,0.54831,0.46355,0.93424,0.00960235,0.00960235,0.00960235
4,2945.52,0.65493,0.6874,0.9868,0.93927,0.93547,0.9749,0.86589,0.48525,0.38252,0.91543,0.009406,0.009406,0.009406
5,3674.62,0.6119,0.59333,0.97328,0.94625,0.94985,0.97813,0.8814,0.44815,0.34331,0.89892,0.009208,0.009208,0.009208
6,4405.22,0.58264,0.54708,0.96153,0.95194,0.94571,0.98031,0.89022,0.43666,0.32492,0.88916,0.00901,0.00901,0.00901
7,5134.56,0.56503,0.50927,0.95563,0.95751,0.94855,0.97835,0.8928,0.4212,0.30366,0.88031,0.008812,0.008812,0.008812
8,5863.49,0.54819,0.48756,0.94722,0.95322,0.95191,0.98265,0.90612,0.40188,0.28977,0.87321,0.008614,0.008614,0.008614
9,6592.3,0.53401,0.46751,0.94134,0.95819,0.95501,0.98134,0.90885,0.39034,0.2748,0.86846,0.008416,0.008416,0.008416
10,7321.32,0.52643,0.4514,0.93759,0.95857,0.95546,0.98469,0.91256,0.38775,0.27032,0.87043,0.008218,0.008218,0.008218
11,8052.64,0.51842,0.44163,0.93531,0.95637,0.95892,0.98505,0.91543,0.37874,0.26073,0.8581,0.00802,0.00802,0.00802
12,8782.19,0.51287,0.43371,0.93135,0.96223,0.95874,0.98574,0.91743,0.37404,0.25364,0.85634,0.007822,0.007822,0.007822
13,9514.61,0.50604,0.42289,0.92679,0.9592,0.95997,0.98584,0.92197,0.3663,0.2495,0.85537,0.007624,0.007624,0.007624
14,10244.4,0.4977,0.41231,0.92399,0.96459,0.95718,0.98684,0.92472,0.36406,0.24356,0.85737,0.007426,0.007426,0.007426
15,10976.9,0.49311,0.40876,0.92199,0.96272,0.95791,0.98669,0.92686,0.35623,0.23439,0.84689,0.007228,0.007228,0.007228
16,11707.1,0.49048,0.40001,0.91966,0.96545,0.9584,0.98774,0.92925,0.35439,0.23116,0.8459,0.00703,0.00703,0.00703
17,12443.4,0.48477,0.39138,0.91786,0.96883,0.95538,0.98748,0.93107,0.34957,0.22787,0.84672,0.006832,0.006832,0.006832
18,13175.7,0.48035,0.38834,0.91932,0.96653,0.95965,0.98816,0.93189,0.34738,0.22561,0.84586,0.006634,0.006634,0.006634
19,13908.4,0.47671,0.38377,0.9137,0.96618,0.96037,0.98857,0.93488,0.34412,0.21888,0.84024,0.006436,0.006436,0.006436
20,14643.6,0.471,0.3736,0.90918,0.96964,0.95829,0.98868,0.93612,0.34153,0.21639,0.83574,0.006238,0.006238,0.006238
21,15378.3,0.46827,0.37396,0.91386,0.96843,0.96063,0.98909,0.93736,0.3384,0.21432,0.84229,0.00604,0.00604,0.00604
